,Bill,annual_bill_number,year,url
974,"Electricity (Supply)(Amendment) Act, 1970",34,1969,https://www.oireachtas.ie/en/bills/bill/1969/34/
975,"Imposition of Duties(Confirmation of Orders) Act, 1969",33,1969,https://www.oireachtas.ie/en/bills/bill/1969/33/
976,"Appropriation Act, 1969",32,1969,https://www.oireachtas.ie/en/bills/bill/1969/32/
977,"Immature Spirits (Restriction) Act, 1969",31,1969,https://www.oireachtas.ie/en/bills/bill/1969/31/
978,"Gaming and Lotteries (Amendment) Act, 1970",30,1969,https://www.oireachtas.ie/en/bills/bill/1969/30/
979,"Merchandise Marks (No.2) Act, 1970",29,1969,https://www.oireachtas.ie/en/bills/bill/1969/29/
980,"Nítrigin Éireann Teoranta Act, 1970",28,1969,https://www.oireachtas.ie/en/bills/bill/1969/28/
981,Local Government (Planning and Development)(No.2) Bill 1969,27,1969,https://www.oireachtas.ie/en/bills/bill/1969/27/
982,"Industrial Development Act, 1969",26,1969,https://www.oireachtas.ie/en/bills/bill/1969/26/
983,"National Stud Act, 1969",25,1969,https://www.oireachtas.ie/en/bills/bill/1969/25/
984,"Local Government (Rates)(No.2) Act, 1970",24,1969,https://www.oireachtas.ie/en/bills/bill/1969/24/
985,"National Building Agency Limited (Amendment) Act, 1969",23,1969,https://www.oireachtas.ie/en/bills/bill/1969/23/
986,"Social Welfare (Miscellaneous Provisions) Act, 1969",22,1969,https://www.oireachtas.ie/en/bills/bill/1969/22/
987,"Finance Act, 1969",21,1969,https://www.oireachtas.ie/en/bills/bill/1969/21/
988,"Decimal Currency (No.2) Act, 1969",20,1969,https://www.oireachtas.ie/en/bills/bill/1969/20/
989,"Collection of Taxes (Confirmation) Act, 1969",19,1969,https://www.oireachtas.ie/en/bills/bill/1969/19/
990,"Land Bond Act, 1969",18,1969,https://www.oireachtas.ie/en/bills/bill/1969/18/
991,"Air Companies (Amendment) Act, 1969",17,1969,https://www.oireachtas.ie/en/bills/bill/1969/17/
992,"National University of Ireland Act, 1969",16,1969,https://www.oireachtas.ie/en/bills/bill/1969/16/
993,"Electricity (Special Provisions)(Repeal) Act, 1969",15,1969,https://www.oireachtas.ie/en/bills/bill/1969/15/
994,"Post Office (Amendment) Act, 1969",14,1969,https://www.oireachtas.ie/en/bills/bill/1969/14/
995,"Grass Meal (Production)(Amendment) Act, 1969",13,1969,https://www.oireachtas.ie/en/bills/bill/1969/13/
996,Local Government (Rates) Bill 1969,12,1969,https://www.oireachtas.ie/en/bills/bill/1969/12/
997,Decimal Currency Bill 1969,11,1969,https://www.oireachtas.ie/en/bills/bill/1969/11/
998,"Industrial Grants (Amendment) Act, 1969",10,1969,https://www.oireachtas.ie/en/bills/bill/1969/10/
999,"Agricultural Credit Act, 1969",/9,/196,https://www.oireachtas.ie/en/bills/bill/1969/9/
1000,"Export Promotion (Amendment) Act, 1969",/8,/196,https://www.oireachtas.ie/en/bills/bill/1969/8/
1001,"Insurance Act, 1969",/7,/196,https://www.oireachtas.ie/en/bills/bill/1969/7/
1002,Local Government (Planning and Development) Bill 1969,/6,/196,https://www.oireachtas.ie/en/bills/bill/1969/6/
1003,"Nelson Pillar Act, 1969",/5,/196,https://www.oireachtas.ie/en/bills/bill/1969/5/
1004,"Health Act, 1970",/4,/196,https://www.oireachtas.ie/en/bills/bill/1969/4/
1005,Merchandise Marks Bill 1969,/3,/196,https://www.oireachtas.ie/en/bills/bill/1969/3/
1006,Social Welfare (Amendment) Bill 1969,/2,/196,https://www.oireachtas.ie/en/bills/bill/1969/2/
1007,"Holy Cross Abbey (County Tipperary) Act, 1969",/1,/196,https://www.oireachtas.ie/en/bills/bill/1969/1/
1008,"The Dublin Cemetries Committee Act, 1970 [Private]",P1,1969,https://www.oireachtas.ie/en/bills/bill/1969/P1/
1009,"Agricultural Produce (Cereals)(Amendment) Act, 1969",39,1968,https://www.oireachtas.ie/en/bills/bill/1968/39/
1010,"Telephone Capital Act, 1969",36,1968,https://www.oireachtas.ie/en/bills/bill/1968/36/
1011,"Electoral (Amendment) Act, 1969",35,1968,https://www.oireachtas.ie/en/bills/bill/1968/35/
1012,"Agricultural Workers (Holidays and Wages) Act, 1969",34,1968,https://www.oireachtas.ie/en/bills/bill/1968/34/
1013,"Curragh of Kildare Act, 1969",33,1968,https://www.oireachtas.ie/en/bills/bill/1968/33/
1014,"Shipping Investment Grants Act, 1969",32,1968,https://www.oireachtas.ie/en/bills/bill/1968/32/
1015,"Bretton Woods Agreements (Amendment) Act, 1969",31,1968,https://www.oireachtas.ie/en/bills/bill/1968/31/
1016,"Housing Act, 1969",30,1968,https://www.oireachtas.ie/en/bills/bill/1968/30/
1017,"Restrictive Trade Practices (Confirmation of Order) Act, 1969",28,1968,https://www.oireachtas.ie/en/bills/bill/1968/28/
1018,"Industrial Relations Act, 1969",23,1966,https://www.oireachtas.ie/en/bills/bill/1966/23/
1019,"Trustee (Authorised Investments) Bill, 1970",36,1970,https://www.oireachtas.ie/en/bills/bill/1970/36/
1020,"Sucession Bill, 1970",35,1970,https://www.oireachtas.ie/en/bills/bill/1970/35/
1021,"Committee of Public Accounts of Dáil Éireann (Privilege and Procedure) Act, 1970",34,1970,https://www.oireachtas.ie/en/bills/bill/1970/34/
1022,"British and Irish Steam Packet Company Limited (Acquisition)(Amendment) Act, 1971",33,1970,https://www.oireachtas.ie/en/bills/bill/1970/33/
1023,"Landlord and Tenant Bill, 1970",32,1970,https://www.oireachtas.ie/en/bills/bill/1970/32/
1024,"Appropriation Act, 1970",31,1970,https://www.oireachtas.ie/en/bills/bill/1970/31/
1025,"Transport Act, 1970",30,1970,https://www.oireachtas.ie/en/bills/bill/1970/30/
1026,"Higher Education Authority Act, 1971",29,1970,https://www.oireachtas.ie/en/bills/bill/1970/29/
1027,"Finance (No. 2) Act, 1970",28,1970,https://www.oireachtas.ie/en/bills/bill/1970/28/
1028,"Prices and Incomes (Temporary Provisions) Bill, 1970",27,1970,https://www.oireachtas.ie/en/bills/bill/1970/27/
1029,"Exchange Control (Continuance) Act, 1970",26,1970,https://www.oireachtas.ie/en/bills/bill/1970/26/
1030,"Fóir Teoranta Act, 1972",25,1970,https://www.oireachtas.ie/en/bills/bill/1970/25/
1031,"Industrial Credit (Amendment) Act, 1971",24,1970,https://www.oireachtas.ie/en/bills/bill/1970/24/
1032,"Unit Trusts Act, 1972",23,1970,https://www.oireachtas.ie/en/bills/bill/1970/23/
1033,"Dangerous Substances Act, 1972",22,1970,https://www.oireachtas.ie/en/bills/bill/1970/22/
1034,"Film Industry Bill, 1970",21,1970,https://www.oireachtas.ie/en/bills/bill/1970/21/
1035,"Employment Agency Bill, 1970",20,1970,https://www.oireachtas.ie/en/bills/bill/1970/20/
1036,"Redundancy Payments Act, 1971",19,1970,https://www.oireachtas.ie/en/bills/bill/1970/19/
1037,"Local Government Services (Corporate Bodies) Bill, 1970",18,1970,https://www.oireachtas.ie/en/bills/bill/1970/18/
1038,"Tourist Traffic Act, 1970",17,1970,https://www.oireachtas.ie/en/bills/bill/1970/17/
1039,"Prohibition of Forcible Entry and Occupation Act, 1971",16,1970,https://www.oireachtas.ie/en/bills/bill/1970/16/
1040,"Road Transport Act, 1971",15,1970,https://www.oireachtas.ie/en/bills/bill/1970/15/
1041,"Social Welfare Act, 1970",14,1970,https://www.oireachtas.ie/en/bills/bill/1970/14/
1042,"Imposition of Duties (Confirmation of Orders) Act, 1970",13,1970,https://www.oireachtas.ie/en/bills/bill/1970/13/
1043,"Vocational Education (Amendment) Act, 1970",12,1970,https://www.oireachtas.ie/en/bills/bill/1970/12/
1044,"Finance Act, 1970",11,1970,https://www.oireachtas.ie/en/bills/bill/1970/11/
1045,"International Health Bodies (Corporate Status) Act, 1971",10,1970,https://www.oireachtas.ie/en/bills/bill/1970/10/
1046,"Shannon Free Airport Development Company Limited (Amendment) Act, 1970",/9,/197,https://www.oireachtas.ie/en/bills/bill/1970/9/
1047,"Sea Fisheries (Amendment) Act, 1970",/8,/197,https://www.oireachtas.ie/en/bills/bill/1970/8/
1048,"Decimal Currency Act, 1970",/7,/197,https://www.oireachtas.ie/en/bills/bill/1970/7/
1049,"Local Government (Temporary Reduction of Valuation) Act, 1970",/6,/197,https://www.oireachtas.ie/en/bills/bill/1970/6/
1050,"Prisons Act, 1970",/5,/197,https://www.oireachtas.ie/en/bills/bill/1970/5/
1051,"Horse Industry Act, 1970",/4,/197,https://www.oireachtas.ie/en/bills/bill/1970/4/
1052,"Housing Act, 1970",/3,/197,https://www.oireachtas.ie/en/bills/bill/1970/3/
1053,"Censorship of Films (Amendment) Act, 1970",/2,/197,https://www.oireachtas.ie/en/bills/bill/1970/2/
1054,"Agricultural (Amendment) Act, 1970",/1,/197,https://www.oireachtas.ie/en/bills/bill/1970/1/
1055,"Electricity (Supply)(Amendment) Act, 1970",34,1969,https://www.oireachtas.ie/en/bills/bill/1969/34/
1056,"Gaming and Lotteries (Amendment) Act, 1970",30,1969,https://www.oireachtas.ie/en/bills/bill/1969/30/
1057,"Merchandise Marks (No.2) Act, 1970",29,1969,https://www.oireachtas.ie/en/bills/bill/1969/29/
1058,"Nítrigin Éireann Teoranta Act, 1970",28,1969,https://www.oireachtas.ie/en/bills/bill/1969/28/
1059,"Local Government (Rates)(No.2) Act, 1970",24,1969,https://www.oireachtas.ie/en/bills/bill/1969/24/
1060,"Health Act, 1970",/4,/196,https://www.oireachtas.ie/en/bills/bill/1969/4/
1061,"The Dublin Cemetries Committee Act, 1970 [Private]",P1,1969,https://www.oireachtas.ie/en/bills/bill/1969/P1/
1062,"Charities Act, 1973",41,1971,https://www.oireachtas.ie/en/bills/bill/1971/41/
1063,"Garda Síochána Act, 1972",40,1971,https://www.oireachtas.ie/en/bills/bill/1971/40/
1064,"Electoral (Amendment) Act, 1972",39,1971,https://www.oireachtas.ie/en/bills/bill/1971/39/
1065,"Appropriation Act, 1971",38,1971,https://www.oireachtas.ie/en/bills/bill/1971/38/
1066,"Export Promotion (Amendment) Act, 1971",37,1971,https://www.oireachtas.ie/en/bills/bill/1971/37/
1067,Third Amendment of the Constitution Bill 1971,36,1971,https://www.oireachtas.ie/en/bills/bill/1971/36/
1068,"Trade Union Act, 1971",35,1971,https://www.oireachtas.ie/en/bills/bill/1971/35/
1069,"International Development Association (Amendment) Act, 1971",34,1971,https://www.oireachtas.ie/en/bills/bill/1971/34/
1070,"Agriculture (Amendment) Act, 1971",33,1971,https://www.oireachtas.ie/en/bills/bill/1971/33/
1071,"Industrial and Provident Societies (Amendment) Act, 1971",32,1971,https://www.oireachtas.ie/en/bills/bill/1971/32/
1072,"Landlord and Tenant (Amendment) Act, 1971",31,1971,https://www.oireachtas.ie/en/bills/bill/1971/31/
1073,"Value-Added Tax Act, 1972",30,1971,https://www.oireachtas.ie/en/bills/bill/1971/30/
1074,"Adoption Bill, 1971",29,1971,https://www.oireachtas.ie/en/bills/bill/1971/29/
1075,"Imposition of Duties (Confirmation of Orders) Act, 1971",28,1971,https://www.oireachtas.ie/en/bills/bill/1971/28/
1076,"Restrictive Practices Act, 1972",27,1971,https://www.oireachtas.ie/en/bills/bill/1971/27/
1077,"Prices (Amendment) Act, 1972",26,1971,https://www.oireachtas.ie/en/bills/bill/1971/26/
1078,"Army Pensions Act, 1971",25,1971,https://www.oireachtas.ie/en/bills/bill/1971/25/
1079,"Tobacco (Control of Sale and Advertisement) Bill, 1971",24,1971,https://www.oireachtas.ie/en/bills/bill/1971/24/
1080,"Electricity (Supply)(Amendment) Act, 1971",23,1971,https://www.oireachtas.ie/en/bills/bill/1971/23/
1081,"Air Navigation (Eurocontrol) Act, 1971",22,1971,https://www.oireachtas.ie/en/bills/bill/1971/22/
1082,"Courts Act, 1971",21,1971,https://www.oireachtas.ie/en/bills/bill/1971/21/
1083,"Social Welfare Act, 1971",20,1971,https://www.oireachtas.ie/en/bills/bill/1971/20/
1084,"Standard Time (Amendment) Act, 1971",19,1971,https://www.oireachtas.ie/en/bills/bill/1971/19/
1085,"Health Contributions Act, 1971",18,1971,https://www.oireachtas.ie/en/bills/bill/1971/18/
1086,"National College of Art and Design Act, 1971",17,1971,https://www.oireachtas.ie/en/bills/bill/1971/17/
1087,"Local Government (Rateability of Rents)(Abolition) Act, 1971",16,1971,https://www.oireachtas.ie/en/bills/bill/1971/16/
1088,"Finance Act, 1971",15,1971,https://www.oireachtas.ie/en/bills/bill/1971/15/
1089,"Trade Marks Bill, 1971",14,1971,https://www.oireachtas.ie/en/bills/bill/1971/14/
1090,"Ministers and Secretaries (Amendment) Bill, 1971",13,1971,https://www.oireachtas.ie/en/bills/bill/1971/13/
1091,"Firearms Act, 1971",12,1971,https://www.oireachtas.ie/en/bills/bill/1971/12/
1092,"Control of Exports (Temporary Provisions) Act, 1956 (Continuance) Act, 1971",11,1971,https://www.oireachtas.ie/en/bills/bill/1971/11/
1093,"Gaeltacht Industries (Amendment) Act, 1971",10,1971,https://www.oireachtas.ie/en/bills/bill/1971/10/
1094,"Irish Steel Holdings Limited (Amendment) Act, 1971",/9,/197,https://www.oireachtas.ie/en/bills/bill/1971/9/
1095,"Insurance Act, 1971",/8,/197,https://www.oireachtas.ie/en/bills/bill/1971/8/
1096,"Transport (Miscellaneous Provisions) Act, 1971",/7,/197,https://www.oireachtas.ie/en/bills/bill/1971/7/
1097,"State-Sponsored Bodies (Foreign Borrowing) Bill, 1971",/6,/197,https://www.oireachtas.ie/en/bills/bill/1971/6/
1098,"Broadcasting Authority (Amendment) Act, 1971",/5,/197,https://www.oireachtas.ie/en/bills/bill/1971/5/
1099,"Fuels (Control of Supplies) Act, 1971",/4,/197,https://www.oireachtas.ie/en/bills/bill/1971/4/
1100,"Nuclear Energy (An Bord Fuinnimh Núicléigh) Act, 1971",/3,/197,https://www.oireachtas.ie/en/bills/bill/1971/3/
1101,"Employment Agency Act, 1971",/2,/197,https://www.oireachtas.ie/en/bills/bill/1971/2/
1102,"Local Government Services (Corporate Bodies) Act, 1971",/1,/197,https://www.oireachtas.ie/en/bills/bill/1971/1/
1103,"British and Irish Steam Packet Company Limited (Acquisition)(Amendment) Act, 1971",33,1970,https://www.oireachtas.ie/en/bills/bill/1970/33/
1104,"Higher Education Authority Act, 1971",29,1970,https://www.oireachtas.ie/en/bills/bill/1970/29/
1105,"Industrial Credit (Amendment) Act, 1971",24,1970,https://www.oireachtas.ie/en/bills/bill/1970/24/
1106,"Redundancy Payments Act, 1971",19,1970,https://www.oireachtas.ie/en/bills/bill/1970/19/
1107,"Prohibition of Forcible Entry and Occupation Act, 1971",16,1970,https://www.oireachtas.ie/en/bills/bill/1970/16/
1108,"Road Transport Act, 1971",15,1970,https://www.oireachtas.ie/en/bills/bill/1970/15/
1109,"International Health Bodies (Corporate Status) Act, 1971",10,1970,https://www.oireachtas.ie/en/bills/bill/1970/10/
1110,"Central Bank Act, 1971",36,1969,https://www.oireachtas.ie/en/bills/bill/1969/36/
1111,"Restrictive Practices (Amendment) Bill, 1972",33,1972,https://www.oireachtas.ie/en/bills/bill/1972/33/
1112,"Appropriation Act, 1972",32,1972,https://www.oireachtas.ie/en/bills/bill/1972/32/
1113,"Sugar Manufacture (Amendment) Bill, 1972",31,1972,https://www.oireachtas.ie/en/bills/bill/1972/31/
1114,"Offences against the State (Amendment) Act, 1972",30,1972,https://www.oireachtas.ie/en/bills/bill/1972/30/
1115,"Referendum (Amendment) Act, 1972",29,1972,https://www.oireachtas.ie/en/bills/bill/1972/29/
1116,"Tourist Traffic Act, 1972",28,1972,https://www.oireachtas.ie/en/bills/bill/1972/28/
1117,"County Management (Amendment) Act, 1972",27,1972,https://www.oireachtas.ie/en/bills/bill/1972/27/
1118,"Fifth Amendment of the Constitution Act, 1973",26,1972,https://www.oireachtas.ie/en/bills/bill/1972/26/
1119,"Imposition of Duties (Confirmation of Orders) Act, 1972",25,1972,https://www.oireachtas.ie/en/bills/bill/1972/25/
1120,"Electricity (Supply)(Amendment) Act, 1972",24,1972,https://www.oireachtas.ie/en/bills/bill/1972/24/
1121,"Trade Union (Amalgamation) Bill, 1972",23,1972,https://www.oireachtas.ie/en/bills/bill/1972/23/
1122,"Misuse of Drugs Bill, 1972",22,1972,https://www.oireachtas.ie/en/bills/bill/1972/22/
1123,"European Communities Act, 1972",21,1972,https://www.oireachtas.ie/en/bills/bill/1972/21/
1124,"Social Welfare (Pay -Related Benefit) Act, 1973",20,1972,https://www.oireachtas.ie/en/bills/bill/1972/20/
1125,"Marriages Act, 1972",19,1972,https://www.oireachtas.ie/en/bills/bill/1972/19/
1126,"Births, Deaths and Marriages Registration Act, 1972",18,1972,https://www.oireachtas.ie/en/bills/bill/1972/18/
1127,"Ministerial and Parliamentary Offices Act, 1972",17,1972,https://www.oireachtas.ie/en/bills/bill/1972/17/
1128,"Minimum Notice and Terms of Employment Act, 1973",16,1972,https://www.oireachtas.ie/en/bills/bill/1972/16/
1129,"Restrictive Trade Practices (Confirmation of Order Act, 1972",15,1972,https://www.oireachtas.ie/en/bills/bill/1972/15/
1130,Fourth Amendment of the Constitution Bill 1972,14,1972,https://www.oireachtas.ie/en/bills/bill/1972/14/
1131,"Rates on Agricultural Land (Relief) Act, 1972",13,1972,https://www.oireachtas.ie/en/bills/bill/1972/13/
1132,"Local Loans Fund (Amendment) Act, 1972",12,1972,https://www.oireachtas.ie/en/bills/bill/1972/12/
1133,"Social Welfare Act, 1972",11,1972,https://www.oireachtas.ie/en/bills/bill/1972/11/
1134,"Finance Act, 1972",10,1972,https://www.oireachtas.ie/en/bills/bill/1972/10/
1135,"Prisons Act, 1972",/9,/197,https://www.oireachtas.ie/en/bills/bill/1972/9/
1136,"Local Elections Act, 1972",/8,/197,https://www.oireachtas.ie/en/bills/bill/1972/8/
1137,"Industrial Development Act, 1972",/7,/197,https://www.oireachtas.ie/en/bills/bill/1972/7/
1138,"Court Officers Act, 1972",/6,/197,https://www.oireachtas.ie/en/bills/bill/1972/6/
1139,"Waters Preservation Bill, 1972",/5,/197,https://www.oireachtas.ie/en/bills/bill/1972/5/
1140,"Immature Spirits (Restriction) Act, 1972",/4,/197,https://www.oireachtas.ie/en/bills/bill/1972/4/
1141,"Agricultural Credit Act, 1972",/3,/197,https://www.oireachtas.ie/en/bills/bill/1972/3/
1142,"Restrictive Trade Practices (Confirmation of Orders) Act, 1972",/2,/197,https://www.oireachtas.ie/en/bills/bill/1972/2/
1143,"Wireless Telegraphy Act, 1972",/1,/197,https://www.oireachtas.ie/en/bills/bill/1972/1/
1144,"Garda Síochána Act, 1972",40,1971,https://www.oireachtas.ie/en/bills/bill/1971/40/
1145,"Electoral (Amendment) Act, 1972",39,1971,https://www.oireachtas.ie/en/bills/bill/1971/39/
1146,"Value-Added Tax Act, 1972",30,1971,https://www.oireachtas.ie/en/bills/bill/1971/30/
1147,"Restrictive Practices Act, 1972",27,1971,https://www.oireachtas.ie/en/bills/bill/1971/27/
1148,"Prices (Amendment) Act, 1972",26,1971,https://www.oireachtas.ie/en/bills/bill/1971/26/
1149,"Fóir Teoranta Act, 1972",25,1970,https://www.oireachtas.ie/en/bills/bill/1970/25/
1150,"Unit Trusts Act, 1972",23,1970,https://www.oireachtas.ie/en/bills/bill/1970/23/
1151,"Dangerous Substances Act, 1972",22,1970,https://www.oireachtas.ie/en/bills/bill/1970/22/
1152,"Appropriation Act, 1973",39,1973,https://www.oireachtas.ie/en/bills/bill/1973/39/
1153,"Agricultural Credit Act, 1973",38,1973,https://www.oireachtas.ie/en/bills/bill/1973/38/
1154,"International Development Association (Amendment) Act, 1973",37,1973,https://www.oireachtas.ie/en/bills/bill/1973/37/
1155,"Local Government (Roads and Motorways) Act, 1974",36,1973,https://www.oireachtas.ie/en/bills/bill/1973/36/
1156,"Telephone Capital Act, 1973",35,1973,https://www.oireachtas.ie/en/bills/bill/1973/35/
1157,Exchequer and Local Financial Years Act  1974,34,1973,https://www.oireachtas.ie/en/bills/bill/1973/34/
1158,"Family Planning Bill, 1973",33,1973,https://www.oireachtas.ie/en/bills/bill/1973/33/
1159,"Army Pensions Act, 1973",32,1973,https://www.oireachtas.ie/en/bills/bill/1973/32/
1160,"Courts Act, 1973",31,1973,https://www.oireachtas.ie/en/bills/bill/1973/31/
1161,"Place Names (Irish Forms) Act, 1973",30,1973,https://www.oireachtas.ie/en/bills/bill/1973/30/
1162,"Genocide Act, 1973",29,1973,https://www.oireachtas.ie/en/bills/bill/1973/29/
1163,"Arts Act, 1973",28,1973,https://www.oireachtas.ie/en/bills/bill/1973/28/
1164,"Misuse of Drugs Act, 1977",27,1973,https://www.oireachtas.ie/en/bills/bill/1973/27/
1165,"Civil Service (Employment of Married Women) Act, 1973",26,1973,https://www.oireachtas.ie/en/bills/bill/1973/26/
1166,"Road Traffic (Amendment) Act, 1973",25,1973,https://www.oireachtas.ie/en/bills/bill/1973/25/
1167,"Air Navigation and Transport Act, 1973",24,1973,https://www.oireachtas.ie/en/bills/bill/1973/24/
1168,"European Communities (Amendment) Act, 1973",23,1973,https://www.oireachtas.ie/en/bills/bill/1973/23/
1169,"Presidential Establishment (Amendment) Act, 1973",22,1973,https://www.oireachtas.ie/en/bills/bill/1973/22/
1170,"Oireachtas (Allowances to Members) and Ministerial and Paliamentary Offices (Amendment) Act, 1973",21,1973,https://www.oireachtas.ie/en/bills/bill/1973/21/
1171,"Criminal Procedure (Amendment) Act, 1973",20,1973,https://www.oireachtas.ie/en/bills/bill/1973/20/
1172,"Dairy Produce (Miscellaneous Provisions) Act, 1973",19,1973,https://www.oireachtas.ie/en/bills/bill/1973/19/
1173,"Regulation of Banks (Remuneration and Conditions of Employment) (Temporary Provisions) Act, 1973",18,1973,https://www.oireachtas.ie/en/bills/bill/1973/18/
1174,"Finance Act, 1973",17,1973,https://www.oireachtas.ie/en/bills/bill/1973/17/
1175,"Holidays (Employees) Act, 1973",16,1973,https://www.oireachtas.ie/en/bills/bill/1973/16/
1176,"Conditions of Employment (Equal Pay) Bill, 1973",15,1973,https://www.oireachtas.ie/en/bills/bill/1973/15/
1177,"Criminal Procedure (Amendment) Bill, 1973",14,1973,https://www.oireachtas.ie/en/bills/bill/1973/14/
1178,"Redundancy Payments Act, 1973",13,1973,https://www.oireachtas.ie/en/bills/bill/1973/13/
1179,"Auctioneers and House Agents Act, 1973",12,1973,https://www.oireachtas.ie/en/bills/bill/1973/12/
1180,"Ministers and Secretaries (Amendment) Act, 1973",11,1973,https://www.oireachtas.ie/en/bills/bill/1973/11/
1181,"Fóir Teoranta (Amendment) Act, 1973",10,1973,https://www.oireachtas.ie/en/bills/bill/1973/10/
1182,"Social Welfare Act, 1973",/9,/197,https://www.oireachtas.ie/en/bills/bill/1973/9/
1183,"Sugar Manufacture (Amendment) Act, 1973",/8,/197,https://www.oireachtas.ie/en/bills/bill/1973/8/
1184,"European Communities (Confirmation of Regulations) Act, 1973",/7,/197,https://www.oireachtas.ie/en/bills/bill/1973/7/
1185,"Local Elections Act, 1973",/6,/197,https://www.oireachtas.ie/en/bills/bill/1973/6/
1186,"Local Government (Rates) Act, 1973",/5,/197,https://www.oireachtas.ie/en/bills/bill/1973/5/
1187,"Local Government (Planning and Development) Act, 1976",/4,/197,https://www.oireachtas.ie/en/bills/bill/1973/4/
1188,"Electoral (Amendment)(No. 2) Act, 1974",/3,/197,https://www.oireachtas.ie/en/bills/bill/1973/3/
1189,"Electoral (Amendment) Act, 1973",/2,/197,https://www.oireachtas.ie/en/bills/bill/1973/2/
1190,"The Leopardstown Park Hospital (Trust Deed Amendment) Act, 1974 [Private]",P1,1973,https://www.oireachtas.ie/en/bills/bill/1973/P1/
1191,"Broadcasting Authority (Amendment) Act, 1973",/1,/197,https://www.oireachtas.ie/en/bills/bill/1973/1/
1192,"Fifth Amendment of the Constitution Act, 1973",26,1972,https://www.oireachtas.ie/en/bills/bill/1972/26/
1193,"Social Welfare (Pay -Related Benefit) Act, 1973",20,1972,https://www.oireachtas.ie/en/bills/bill/1972/20/
1194,"Minimum Notice and Terms of Employment Act, 1973",16,1972,https://www.oireachtas.ie/en/bills/bill/1972/16/
1195,"Charities Act, 1973",41,1971,https://www.oireachtas.ie/en/bills/bill/1971/41/
1196,Family Planning Bill 1974,43,1974,https://www.oireachtas.ie/en/bills/bill/1974/43/
1197,Capital Gains Tax Act  1975,42,1974,https://www.oireachtas.ie/en/bills/bill/1974/42/
1198,Appropriation Act  1974,41,1974,https://www.oireachtas.ie/en/bills/bill/1974/41/
1199,Rates on Agricultural Land (Relief) Act  1974,40,1974,https://www.oireachtas.ie/en/bills/bill/1974/40/
1200,Sea Fisheries (Amendment) Act  1974,39,1974,https://www.oireachtas.ie/en/bills/bill/1974/39/
1201,"Criminal Law (Jurisdiction) Bill, 1974",38,1974,https://www.oireachtas.ie/en/bills/bill/1974/38/
1202,"Misuse of Drugs Bill, 1974",37,1974,https://www.oireachtas.ie/en/bills/bill/1974/37/
1203,Transport (No. 2) Act  1974,36,1974,https://www.oireachtas.ie/en/bills/bill/1974/36/
1204,Social Welfare (No. 3) Act  1974,35,1974,https://www.oireachtas.ie/en/bills/bill/1974/35/
1205,Health Contributions (Amendment) Act  1974,34,1974,https://www.oireachtas.ie/en/bills/bill/1974/34/
1206,Broadcasting Authority (Amendment) Act  1974,33,1974,https://www.oireachtas.ie/en/bills/bill/1974/33/
1207,Local Loans Fund (Amendment) Act  1974,32,1974,https://www.oireachtas.ie/en/bills/bill/1974/32/
1208,"Mergers, Take-overs and Monopolies (Control) Bill, 1974",31,1974,https://www.oireachtas.ie/en/bills/bill/1974/31/
1209,"Protection of Young Persons (Employment) Act, 1977",30,1974,https://www.oireachtas.ie/en/bills/bill/1974/30/
1210,"Air Navigation and Transport Act, 1975",29,1974,https://www.oireachtas.ie/en/bills/bill/1974/29/
1211,"Wildlife Bill, 1974",28,1974,https://www.oireachtas.ie/en/bills/bill/1974/28/
1212,Exchange Control (Continuance) Act  1974,27,1974,https://www.oireachtas.ie/en/bills/bill/1974/27/
1213,Fisheries (Amendment) Act  1974,26,1974,https://www.oireachtas.ie/en/bills/bill/1974/26/
1214,Industrial Credit (Amendment) Act  1974,25,1974,https://www.oireachtas.ie/en/bills/bill/1974/25/
1215,Shannon Free Airport Development Company Limited (Amendment) Act  1974,24,1974,https://www.oireachtas.ie/en/bills/bill/1974/24/
1216,Export Promotion (Amendment) Act  1974,23,1974,https://www.oireachtas.ie/en/bills/bill/1974/23/
1217,Agriculture (Amendment) Act  1974,22,1974,https://www.oireachtas.ie/en/bills/bill/1974/22/
1218,Electricity (Supply)(Amendment) Act  1974,21,1974,https://www.oireachtas.ie/en/bills/bill/1974/21/
1219,Social Welfare (No. 2) Act  1974,20,1974,https://www.oireachtas.ie/en/bills/bill/1974/20/
1220,Prosecution of Offences Act  1974,19,1974,https://www.oireachtas.ie/en/bills/bill/1974/19/
1221,Maintenance Orders Act  1974,18,1974,https://www.oireachtas.ie/en/bills/bill/1974/18/
1222,Adoption Act  1974,17,1974,https://www.oireachtas.ie/en/bills/bill/1974/17/
1223,Prisons Act  1974,16,1974,https://www.oireachtas.ie/en/bills/bill/1974/16/
1224,Social Welfare Act  1974,15,1974,https://www.oireachtas.ie/en/bills/bill/1974/15/
1225,Gaeltacht Industries (Amendment) Act  1974,14,1974,https://www.oireachtas.ie/en/bills/bill/1974/14/
1226,Finance Act  1974,13,1974,https://www.oireachtas.ie/en/bills/bill/1974/13/
1227,"Illegitimate Children (Maintenance and Succession) Bill, 1974",12,1974,https://www.oireachtas.ie/en/bills/bill/1974/12/
1228,Local Elections (Petitions and Disqualifications) Act  1974,11,1974,https://www.oireachtas.ie/en/bills/bill/1974/11/
1229,"Building Societies Act, 1974",10,1974,https://www.oireachtas.ie/en/bills/bill/1974/10/
